Year,Provider ID,Name,Street Address,City,State,ZIP Code,HRR,Hospice Beneficiaries,Total Days,Total Medicare Payment Amount,Total Medicare Standard Payment Amount,Total Charge Amount,Percent RHC Days,Physician Services,Home Health Visit Hours per Day,Skilled Nursing Visit Hours per Day,Social Service Visit Hours per Day,Total Live Discharges,Hospice beneficiaries with 7 or fewer hospice care days,Hospice beneficiaries with more than 60 hospice care days,Hospice beneficiaries with more than 180 hospice care days,Home Health Visit Hours per Day During Week Prior to Death,Skilled Nursing Visit Hours per Day During Week Prior to Death,Social Service Visit Hours per Day During Week Prior to Death,Average Age,Male hospice beneficiaries,Female hospice beneficiaries,White hospice beneficiaries,Black hospice beneficiaries,Asian hospice beneficiaries,Hispanic hospice beneficiaries,Other/unknown race hospice beneficiaries,Medicare Advantage hospice beneficiaries,Medicaid Eligible hospice beneficiaries,Hospice beneficiaries with a primary diagnosis of cancer,Hospice beneficiaries with a primary diagnosis of dementia,Hospice beneficiaries with a primary diagnosis of stroke,Hospice beneficiaries with a primary diagnosis of circulatory/heart disease,Hospice beneficiaries with a primary diagnosis of respiratory disease,Hospice beneficiaries with other primary diagnoses ,Site-of-service Home hospice beneficiaries,Site-of-service Assisted Living Facility hospice beneficiaries,Site-of-service Long-term-care or non-skilled Nursing Facility hospice beneficiaries,Site-of-service Skilled Nursing Facility hospice beneficiaries,Site-of-service Inpatient Hospital hospice beneficiaries,Site-of-service Inpatient Hospice hospice beneficiaries,Site-of-service Other Facility hospice beneficiaries
2014,11612,COLUMBUS HOSPICE OF ALABAMA,1521 FIFTH AVENUE,PHENIX CITY,AL,36867,GA - Columbus,249,26765,4203195.72,4637177.93,6212795.61,95,706,0.57,0.28,0.06,20,52,104,66,0.82,1.36,0.08,81,86,163,192,54,,,,49,43,75,36,22,35,34,47,146,0,46,0,,54,
2014,11501,NEW BEACON OF BIRMINGHAM,"4735 NORREL DRIVE, SUITE 129",TRUSSVILLE,AL,35173,AL - Birmingham,369,30778,4411217.86,4878705,6285086.16,99,70,0.26,0.33,0.05,69,82,143,60,0.22,0.8,0.08,82,140,229,288,81,0,0,0,152,59,92,98,30,81,40,28,209,13,90,,45,,
2014,11661,COOSA VALLEY HOSPICE,315 WEST HICKORY STREET,SYLACAUGA,AL,35150,AL - Birmingham,69,8480,1148253.91,1334677.87,1593207.18,99,0,0.27,0.14,0.03,22,,43,21,0.52,0.84,0.16,80,25,44,57,12,0,0,0,,18,,15,,23,,,43,0,,20,,0,0
2014,11649,SOUTHERNCARE CLANTON,201 MEDICAL CENTER DRIVE,CLANTON,AL,35046,AL - Birmingham,245,20590,2889631.02,3221917.19,5722362.35,99,,0.2,0.16,0.01,46,49,108,37,0.25,0.49,0.05,79,95,150,213,29,,,0,79,52,48,43,24,69,33,28,168,16,12,35,,,
2014,11673,COMFORT CARE HOSPICE OF WETUMPKA,629 COOSA RIVER PARKWAY,WETUMPKA,AL,36092,AL - Montgomery,54,4056,537272.33,622746.54,853526.02,100,0,0.19,0.28,0.05,14,,19,,0.17,0.98,0.08,79,16,38,48,,0,0,,,24,,24,,,,,23,0,,28,0,0,
2014,11500,BAPTIST HOSPICE,301 INTERSTATE PARK,MONTGOMERY,AL,36109,AL - Montgomery,367,19905,2752449.23,3186917.7,7388086.46,99,99,0.34,0.27,0.04,48,107,98,35,0.28,0.89,0.06,78,165,202,253,112,,0,,118,55,128,62,23,57,52,45,265,,,35,63,0,0
2014,11674,GENTIVA HOSPICE - HUNTSVILLE,"5000 BRADFORD DRIVE, SUITE 3A",HUNTSVILLE,AL,35805,AL - Huntsville,893,88375,11947105.75,13652296.29,17063688.22,99,0,0.25,0.24,0.04,139,100,427,178,0.31,0.68,0.08,80,352,541,815,66,,,,106,128,185,175,54,274,135,70,742,31,89,15,16,0,0
2014,11576,COMFORT CARE HOSPICE LLC,"547 U.S. HIGHWAY 80 WEST, SUITE 2",DEMOPOLIS,AL,36732,AL - Birmingham,105,8501,1153756.69,1330775.59,1777858.09,99,0,0.32,0.36,0.06,13,21,46,19,0.35,1.52,0.29,83,45,60,54,51,0,0,0,,45,17,26,,36,,12,55,,,44,,0,0
2014,11549,"HOMESTEAD HOSPICE OF CAHABA, LLC","410 CHURCH STERET, SUITE B",SELMA,AL,36701,AL - Birmingham,49,4050,535973.21,621237.92,1183707.48,100,0,0.5,0.17,0.04,,,24,,0.67,0.78,0.1,80,19,30,34,14,0,,,,15,16,,,13,,,47,0,0,,0,0,
2014,11620,"ALPHA OMEGA HOSPICE, LLC",1017 WEST PUSHMATAHA STREET,BUTLER,AL,36904,MS - Meridian,12,192,25328.88,29364.24,28016.32,100,0,0,0,0,12,0,0,0,0,0,0,79,,,,,0,0,0,0,,,0,,,,0,,0,0,0,0,0,0
2014,11653,SOUTHERNCARE DAPHNE,"26179 CAPITAL DRIVE, SUITE A",DAPHNE,AL,36526,AL - Mobile,443,45537,6091342.33,7059829.34,12822929.2,99,,0.39,0.11,0.01,157,51,235,91,0.87,0.95,0.01,80,192,251,293,146,0,,,164,110,58,112,24,162,43,44,249,55,55,72,11,,
2014,11623,AMEDISYS HOSPICE OF MONTGOMERY,8160 DECKER LANE,MONTGOMERY,AL,36117,AL - Montgomery,209,15316,2037197.7,2364355.08,3819206.48,100,0,0.26,0.28,0.04,11,32,75,27,0.26,1.03,0.09,82,73,136,151,57,0,,,40,29,48,42,27,49,22,21,172,,19,,,0,0
2014,11663,"SOUTHEAST HOSPICE NETWORK, LLC","4330 HIGHWAY 78E, SUITE 120-121",JASPER,AL,35501,AL - Birmingham,285,28473,3902159.46,4376813.85,6948929.79,100,0,0.39,0.23,0.03,54,31,136,56,0.32,0.73,0.07,82,111,174,232,49,0,,,104,73,60,80,21,77,35,12,216,,0,66,0,0,
2014,11678,HOSPICE ADVANTAGE OF FLORENCE,507 E DR HICKS BOULEVARD,FLORENCE,AL,35634,AL - Birmingham,186,24593,3306347.08,3780782.96,6883564.14,100,,0.4,0.28,0.04,32,23,106,60,0.55,1.36,0.13,82,77,109,162,23,0,,,17,45,28,44,,66,,27,130,11,0,45,0,0,0
2014,11619,HOSPICE ADVANTAGE,4037 US HWY 231,WETUMPKA,AL,36093,AL - Montgomery,130,9685,1295796.18,1501686.74,2505339.21,99,0,0.43,0.3,0.02,24,21,51,17,0.44,0.9,0.06,81,46,84,55,73,,0,,46,44,27,33,14,34,,,103,,0,24,,0,0
2014,11671,ALABAMA HOSPICE CARE OF OXFORD,1631 HAMRICK DRIVE EAST,OXFORD,AL,36203,AL - Birmingham,122,15320,2030672.19,2359697.53,4268820.25,100,0,0.29,0.18,0.02,26,,71,34,0.52,0.78,0.02,79,51,71,103,18,0,,,15,21,18,23,,48,21,,110,0,12,0,0,0,0
2014,11637,VITAS INNOVATIVE HOSPICE CARE OF FULTONDALE,"2271 DECATUR HWY, STE 101",GARDENDALE,AL,35071,AL - Birmingham,376,22461,3355605.56,3707581.3,6843468.72,98,49,0.31,0.51,0.03,53,100,117,37,0.25,3.03,0.05,81,154,222,283,92,,0,,180,48,92,39,39,63,50,93,251,14,50,,60,0,
2014,11502,MERCY HOSPICE,374 GREENO ROAD,FAIR HOPE,AL,36532,AL - Mobile,316,17859,2531599.2,2959149.43,3755053.85,97,63,0.31,0.23,0.01,43,131,78,35,0.22,0.88,0.01,79,121,195,253,60,0,,,114,36,93,63,46,32,48,34,185,,11,16,100,0,
2014,11506,NEW BEACON OF JASPER,"300 NORTH AIRPORT ROAD, UNITS 3 AND 4",JASPER,AL,35504,AL - Birmingham,77,6911,965769.9,1072557.21,1380388.44,100,21,0.26,0.27,0.05,13,12,43,11,0.27,0.78,0.05,78,36,41,67,,0,,,29,14,11,15,,29,18,,60,,,0,,0,0
2014,11680,FIRST CHOICE HOSPICE-OZARK,1864 ANDREWS AVENUE  SUITE A,OZARK,AL,36360,AL - Dothan,136,16725,2250457.33,2615294.6,4279031,100,319,0.15,0.14,0.03,76,,94,35,0.34,0.57,0.11,77,56,80,109,25,0,,,23,40,,20,,71,27,,134,,0,,0,0,0
2014,11591,"HOPE HOSPICE, INC","1100 EAST PARK DRIVE, SUITE 303",BIRMINGHAM,AL,35235,AL - Birmingham,172,13611,1917398.44,2131758.89,3543825.77,99,0,0.19,0.3,0.02,23,29,65,25,0.2,1.81,0.04,81,69,103,160,12,0,0,0,68,,74,19,14,39,11,15,139,30,0,0,,0,
2014,11677,ALABAMA HOSPICE CARE OF TUSCALOOSA,3064 PALISADES COURT,TUSCALOOSA,AL,35405,AL - Tuscaloosa,69,9063,1269556.84,1408271.51,2612462.52,99,0,0.24,0.2,0.05,29,,40,20,0.22,1.1,0.27,77,30,39,36,31,,0,,,18,13,15,,17,17,,64,,,0,,0,0
2014,11511,"HOSPICE OF THE VALLEY, INC","216 JOHNSON STREET, SE  P O BOX 2745",DECATUR,AL,35601,AL - Huntsville,427,28500,4024735.73,4648431.78,7772805.33,98,0,0.25,0.33,0.05,41,120,130,54,0.19,1.4,0.1,80,192,235,389,36,0,,,44,54,118,58,43,72,61,75,309,,42,,70,0,0
2014,11630,HOSPICE ADVANTAGE BIRMINGHAM,2435 1ST AVENUE SOUTH,IRONDALE,AL,35210,AL - Birmingham,152,15233,2113791.22,2337566.38,4226361.07,100,,0.36,0.29,0.04,28,16,71,34,0.36,0.85,0.08,79,58,94,104,47,0,,,69,29,27,47,,30,22,,131,0,,17,,,
2014,11650,SOUTHERNCARE OF DOTHAN,2576 MONTGOMERY HWY SUITE 2,DOTHAN,AL,36303,AL - Dothan,158,19249,2570113.21,2979159.1,4954511.87,100,0,0.22,0.15,0.01,16,21,83,46,0.25,0.5,0.02,79,61,97,129,29,0,0,0,18,41,36,27,11,48,20,16,121,,,26,,0,0
2014,11638,HELPING HANDS HOSPICE,"400 EMERY DRIVE, SUITE 100",HOOVER,AL,35244,AL - Birmingham,50,3423,471387.24,528519.81,684439.48,100,0,0.03,0.3,0.01,,,19,,0.02,1.4,0.04,84,17,33,36,14,0,0,0,18,,,15,,12,,,42,0,,0,0,0,
2014,11681,FIRST CHOICE HOSPICE ANDALUSIA,1015 S THREE NOTCH ST,ANDALUSIA,AL,36420,FL - Pensacola,34,3154,428726.46,496012.14,871539,100,69,0.18,0.13,0.04,16,,20,,0.18,0.57,0.1,74,14,20,23,11,0,0,0,,,,,,24,,0,33,0,0,0,,0,
2014,11517,HOSPICE OF WEST ALABAMA,3851 LOOP ROAD,TUSCALOOSA,AL,35404,AL - Tuscaloosa,656,26148,5070236.8,5594693.79,9865346.29,89,925,0.44,0.66,0.07,38,246,125,41,1.22,1.91,0.13,80,284,372,547,101,,,,46,92,195,111,59,117,71,103,366,0,0,0,,285,
2014,11514,CARE FIRST HOSPICE,"1400 URBAN CENTER DRIVE, SUITE 240",BIRMINGHAM,AL,35242,AL - Birmingham,301,23842,3375118.76,3730421.03,5202820.33,99,0,0.32,0.3,0.02,56,57,122,47,0.3,0.92,0.04,82,112,189,252,48,0,,,103,22,59,88,22,72,19,41,262,0,0,12,27,0,0
2014,11570,GENTIVA HOSPICE-BIRMINGHAM,"2000 B SOUTHBRIDGE PARKWAY, SUITE 425",BIRMINGHAM,AL,35209,AL - Birmingham,74,6597,925049.46,1022198.8,1350278.72,100,0,0.26,0.28,0.04,20,,33,14,0.24,0.88,0.06,80,19,55,69,,,,0,30,25,11,31,,,14,,45,0,23,,,0,0
2014,11670,LAWLEY PREMIER HOSPICE CARE,101 CHURCH STREET,RAINBOW CITY,AL,35906,AL - Birmingham,122,9496,1259946.24,1458307.69,2112369.73,99,0,0.29,0.3,0.05,12,30,48,19,0.33,0.97,0.16,79,53,69,115,,0,0,,26,35,34,30,,31,15,,66,,21,33,0,,0
2014,11524,CHATTAHOOCHEE HOSPICE INC,6 MEDICAL PARK NORTH,VALLEY,AL,36854,AL - Birmingham,130,8475,1147068.53,1329074.76,1406108.48,99,0,0.33,0.35,0.07,16,31,38,11,0.35,0.93,0.12,79,41,89,92,36,0,,,22,41,41,17,20,17,14,21,78,0,48,0,,0,
2014,11562,ASERACARE HOSPICE-JACKSON,4115 COLLEGE AVENUE,JACKSON,AL,36545,AL - Mobile,113,12953,1752772.37,2031351.44,2564444.03,99,24,0.23,0.18,0.03,29,14,62,28,0.22,0.51,0.04,82,60,53,80,32,0,,,14,22,25,20,,35,,16,91,0,19,0,,0,
2014,11582,COMFORT CARE HOSPICE OF GREENVILLE,23 JAMESON LANE,GREENVILLE,AL,36037,AL - Montgomery,100,9807,1304235.65,1511741.55,2075621.15,100,0,0.28,0.26,0.03,25,,54,18,0.28,0.64,0.06,81,34,66,66,32,0,,,13,41,12,27,,33,,,61,0,,31,,0,0
2014,11508,NEW BEACON OF ANNISTON,"1419 LEIGHTON AVENUE, UNIT A",ANNISTON,AL,36207,AL - Birmingham,196,12983,1736239.71,2010887.9,2556627.85,100,16,0.21,0.27,0.04,40,28,61,22,0.22,0.76,0.06,78,89,107,179,17,0,0,0,25,47,66,33,,40,32,,149,,40,,,0,0
2014,11527,AMEDISYS HOSPICE OF BIRMINGHAM,"2204 LAKESHORE DRIVE, SUITE 160",HOMEWOOD,AL,35209,AL - Birmingham,1301,138611,18957754.63,21547749.48,36078639.73,99,0,0.28,0.28,0.04,189,167,622,299,0.31,1.09,0.09,81,508,793,1067,217,,,,283,165,207,275,90,438,177,114,1153,35,55,,48,0,
2014,11672,"HOMESTEAD HOSPICE OF SOUTHWEST ALABAMA, LLC",128 FRONT STREET,GILBERTOWN,AL,36908,MS - Meridian,212,33398,4426172.06,5155296.58,10394995.24,100,0,0.27,0.13,0.02,85,,152,79,0.55,0.75,0.08,77,90,122,77,135,0,0,0,20,56,,28,19,124,22,,187,12,0,11,,,0
2014,11634,"HEARTLITE HOSPICE, INC","304 SOUTH MARKET STREET, STE 200",SCOTTSBORO,AL,35768,AL - Huntsville,133,18411,2486310.34,2834500.83,3987114.37,100,0,0.25,0.23,0.02,24,17,72,48,0.5,0.58,0.02,78,57,76,125,,0,,0,19,19,25,31,,33,25,,111,,16,0,,0,0
2014,11683,CITIZENS BAPTIST HOSPICE,403 MEDICAL OFFICE PARK,TALLADEGA,AL,35160,AL - Birmingham,25,1122,164146.88,189991.04,248981.87,96,0,0.16,0.36,0.05,,,,,0.11,1.23,0.18,80,,,18,,0,0,,,,,,,,,,16,0,0,0,,,0
2014,11569,SOUTHERNCARE GROVE HILL,179B JACKSON STREET,GROVE HILL,AL,36451,AL - Mobile,191,16981,2319037.08,2687029.66,4824421.73,99,,0.39,0.14,0.01,35,24,93,31,0.5,0.62,0.01,81,77,114,129,57,0,,,38,47,46,53,,52,,20,144,,23,11,,0,
2014,11568,NEW BEACON OF ALABASTER,"122 7TH AVENUE NORTHEAST, SUITE D",ALABASTER,AL,35007,AL - Birmingham,417,51478,7085295.39,8050570.31,10067627.98,99,38,0.22,0.22,0.03,50,70,229,119,0.23,0.76,0.08,80,171,246,371,44,0,,,104,89,70,49,44,116,91,47,283,,90,,33,,0
2014,11567,ASERACARE HOSPICE-MONROEVILLE,1979 S HWY 21 BYPASS,MONROEVILLE,AL,36460,AL - Mobile,390,37470,5023437.04,5821393.05,7446287.04,99,0,0.33,0.19,0.02,59,62,170,80,0.34,0.66,0.05,80,154,236,290,95,,,,105,69,92,90,30,106,39,33,293,,66,,12,,0
2014,11602,GENTIVA HOSPICE (PHENIX CITY),"3615 SOUTH RAILROAD STREET, SUITE 3",PHENIX CITY,AL,36867,GA - Columbus,526,54429,7355220.01,8408971.85,9956450.5,99,,0.26,0.17,0.02,95,55,263,109,0.27,0.56,0.03,80,192,334,348,172,,,0,114,102,122,167,17,123,52,45,418,13,93,,0,,0
2014,11566,ASERACARE HOSPICE-DECATUR,219 EAST MOULTON STREET,DECATUR,AL,35601,AL - Huntsville,89,9527,1300931.31,1467382.93,1963244.63,100,0,0.24,0.24,0.04,,14,46,22,0.23,0.76,0.05,85,25,64,84,,0,,0,,58,,45,,15,,,,,78,,0,0,0
2014,11626,"ABC HOSPICE, INC",266 INDUSTRIAL DRIVE,RAINSVILLE,AL,35986,AL - Birmingham,206,23125,3102706.86,3594117.73,4931660.36,100,0,0.32,0.24,0.04,34,35,116,53,0.39,0.68,0.07,79,87,119,200,,,,,40,42,31,50,12,49,32,32,159,,25,,16,0,0
2014,11534,HOSPICE OF NORTHWEST ALABAMA,1315 US HIGHWAY 43     P O BOX 1216,WINFIELD,AL,35594,AL - Birmingham,123,7791,1033584.82,1197871.95,1888940.87,100,0,0.27,0.34,0.06,17,32,43,11,0.3,1.01,0.12,81,59,64,121,,0,0,,11,28,50,13,,32,19,,93,,0,26,0,0,
2014,11546,COMMUNITY HOSPICE OF BALDWIN COUNTY,"2770 SOUTH MCKENZIE, SUITE C",FOLEY,AL,36535,AL - Mobile,165,12637,1692799.66,1961679.73,2720493.07,99,0,0.37,0.24,0.03,26,30,69,22,0.35,0.97,0.05,82,79,86,159,,,0,,42,21,38,35,,35,,32,109,,30,,,0,0
2014,11631,"HOMESTEAD HOSPICE OF SOUTHERN ALABAMA, LLC",116 EDWINA STREET,EVERGREEN,AL,36401,AL - Montgomery,71,5447,726009.11,841627.65,1577888.55,100,0,0.49,0.27,0.07,,,26,12,0.46,1.39,0.12,81,35,36,51,19,0,,,,13,21,13,,19,,,57,,,,,0,0
2014,11684,ST JOSEPH HOSPICE OF SOUTH ALABAMA LLC,1903 SPRINGHILL AVENUE,MOBILE,AL,36607,AL - Mobile,12,328,44226.6,51245.05,78805.04,98,0,0.43,0.35,0.11,0,,,,0.34,0.68,0.04,80,,,,,0,0,0,,,,,,,0,,,0,0,0,0,0,0
2014,11607,COMFORT CARE HOSPICE OF PELHAM,"245 CAHABA VALLEY PKWY, SUITE 110",PELHAM,AL,35124,AL - Birmingham,683,50595,7214440.35,7971033.67,11035772.96,99,0,0.2,0.29,0.04,88,159,237,100,0.19,0.88,0.11,80,285,398,461,217,,,,279,103,166,114,124,134,71,74,486,13,,107,76,0,
2014,11668,COMFORT CARE HOSPICE OF GADSDEN,"500 SOUTH 5TH STREET, SUITES 1100 & 1110",GADSDEN,AL,35901,AL - Birmingham,91,10824,1439170.85,1667477.86,2295103.03,100,0,0.24,0.26,0.05,27,,52,26,0.28,0.73,0.1,80,30,61,76,15,0,0,0,,41,16,35,,20,,,39,0,0,51,,0,
2014,11632,KELLER HOSPICE,"404 WEST AVALON AVENUE, SUITE 102",MUSCLE SHOALS,AL,35661,AL - Birmingham,77,5600,758319.93,878869.55,1728014.58,99,0,0.13,0.25,0.03,17,20,30,,0.19,1,0.04,81,42,35,68,,0,0,,,12,17,,,28,11,,66,0,,0,,0,0
2014,11586,ASERACARE HOSPICE-HAMILTON,"1215 MILITARY STREET SOUTH - SUITE B, PO BOX 1357",HAMILTON,AL,35570,MS - Tupelo,161,11895,1593874.64,1846253.3,2501648.01,100,0,0.3,0.27,0.04,17,30,60,22,0.31,0.84,0.05,81,79,82,159,,0,0,,16,43,41,41,11,31,17,20,103,,48,,,0,0
2014,11504,GADSDEN REGIONAL HOSPICE,82 INDUSTRIAL BOULEVARD,ATTALLA,AL,35954,AL - Birmingham,57,2733,377000.72,436413.54,568275.85,99,0,0.18,0.33,0.07,,18,13,,0.16,0.58,0.07,75,22,35,53,,0,0,,17,,26,,,12,11,,45,0,0,,,,0
2014,11621,LAKE MARTIN HOSPICE,"301 MARIARDEN ROAD, SUITE F - PO BOX 629",DADEVILLE,AL,36853,AL - Birmingham,124,16761,2248738.72,2605782.96,3854964.44,99,0,0.26,0.23,0.05,22,20,65,41,0.26,1.08,0.22,81,42,82,102,22,0,0,0,18,21,24,21,,27,29,,102,,0,15,,0,0
2014,11538,HOSPICE OF CLAY COUNTY,83825 HIGHWAY 9  P O BOX 1270,ASHLAND,AL,36251,AL - Birmingham,33,2896,389725.65,451589.5,636187.41,99,0,0.22,0.26,0.05,,,16,,0.26,0.82,0.12,80,18,15,30,,0,0,,,,,,,,,,28,,0,,,0,0
2014,11642,SPRINGHILL HOME HEALTH AND HOSPICE,22 NORTH MOBILE STREET,MOBILE,AL,36607,AL - Mobile,448,31794,4269178.93,4948323.84,7029043,99,,0.38,0.33,0.03,31,88,143,56,0.33,1.26,0.08,79,213,235,362,80,,,,179,27,224,59,26,59,40,40,418,,,,26,0,0
2014,11640,COMFORT CARE HOSPICE OF BREWTON,"215 BELLEVILLE AVENUE, SUITE A",BREWTON,AL,36426,FL - Pensacola,87,5921,789721.72,915460.64,1255149.23,100,0,0.21,0.26,0.05,,18,22,11,0.18,0.81,0.07,79,34,53,69,15,0,,,,20,34,12,,14,14,,69,0,,13,,0,0
2014,11676,GOOD SAMARITAN HOSPICE OF MADISON,"540 HUGHES ROAD, SUITE 12",MADISON,AL,35758,AL - Huntsville,100,12812,1804959.89,1977858.01,3599928.31,100,0,0.29,0.2,0.02,15,,55,30,0.1,0.21,0.01,81,32,68,58,40,0,,,14,27,22,23,,17,,19,82,0,17,,0,0,
2014,11603,"DAYSPRING HOSPICE, LLC",201 WEST LEE STREET,ENTERPRISE,AL,36331,AL - Dothan,92,8284,1097347.06,1279151.52,1107275.47,100,0,0.01,0.01,0,,13,43,17,0,0,0,81,36,56,78,12,0,,,,14,20,32,,24,,,90,0,,0,,0,0
